city_id,city,state_id
3812,Greenbelt,110
3813, Basking Ridge,117
3814,Lisle ,115
3815,RICHARDSON ,107
3816,West Sacramento,106
3817,Scarsdale,113
3818,Rochelle Park,117
3819,EAST MEADOW,113
3820,BRANDON,118
3821,SUMMIT,117
3822,Pleasant Valley,113
3823,MIRAMAR,118
3824,Calabasas,106
3825,Lacey’s Spring,124
3826,RICHARDSON,107
3827,PORTLAND,130
3828,Augusta ,147
3829,Deerfield Beach,118
3830,Brownsburg,135
3831,DUBLIN,131
3832,Bristol,119
3833,ROANOKE,107
3834,Novi,102
3835,Boulder,132
3836,Parker,132
3837,Midland,102
3838,Norman,112
3839,West Lafayette,135
3840,University Park,119
3841,"Morgantown, Monogalia ",146
3842,Fort Mill,134
3843,Natick,103
3844,IRVING ,107
3845,Washington DC ,138
3846,Creve Coeur,111
3847,Albuquerque,143
3848,OVERLAND,128
3849,Pleasanton ,106
3850,LEWISVILLE ,107
3851,SACRAMENTO,106
3852,FAIRFAX,108
3853,Ventura,106
3854,Roseland,117
3855,BLOOMFIELD,109
3856,MOUNTAIN HOUSE,106
3857,Richmond Hill,113
3858,Woodland Hills,106
3859,Broomfield,132
3860,Pontiac,102
3861,Batesville,135
3862,GARLAND,107
3863,Williamsville,113
3864,San Juan Capistrano,106
3865,Montgomeryville,119
3866,Everett,103
3867,Watertown,103
3868,Petersburg,108
3869,Rochester,113
3870, San Francisco,106
3871,NASHVILLE,105
3872,Rensselaer,113
3873,O’Fallon,111
3874,Carlisle,119
3875,Montclair,117
3876,PLEASANTON,106
3877,North Las Vegas,140
3878,Mt. Pleasant,139
3879,Hayward,106
3880,Arlington Heights,115
3881,Richmond,107
3882,Newtown Square,119
3883,Irmo,134
3884,Copley,131
3885,ADDISON,107
3886,City of Industry,106
3887,Indian Land,134
3888,ROYAL CITY,114
3889,Warren,102
3890,GLEN ALLEN,108
3891,WOONSOCKET,136
3892,Andover,103
3893,Gambier,131
3894,Mountlake Terrace,114
3895,EAST HANOVER,117
3896,Arlington ,108
3897,Webster,103
3898,Morris Plains,117
3899,Bethpage,113
3900,PLEASANTON ,106
3901,Brookfield,139
3902,FOXBORO,103
3903,Cambridge ,103
3904,South Windsor,109
3905,Northbrook ,115
3906,PASADENA,106
3907,Eagan,104
3908,Franklin Lakes,117
3909,JESSUP,119
3910,PLYMOUTH,104
3911,Prior Lake,104
3912,Frederick,110
3913,Greenwich,109
3914,Queens,113
3915,Goleta,106
3916,Venice,106
3917, Annandale,108
3918,Manassas,108
3919,Wheaton,115
3920,Henderson,120
3921,Dunwoody,101
3922,Cincinnati ,131
3923,OKEMOS,102
3924,WEEKHAWKEN,117
3925,Spring Hill,118
3926,Windsor Mill,110
3927,Pittsburgh ,119
3928,BALTIMORE,110
3929,Eden Prairie ,104
3930,Midvale,122
3931,Allendale,117
3932,WINDSOR,109
3933,Englewood Cliffs,117
3934,SUSSEX,139
3935,Tysons,108
3936,Arcadia ,106
3937,Sugarland,107
3938,Lafayette,133
3939,LAS VEGAS,140
3940,LITTLE ROCK,142
3941,BROOKLYN,131
3942,Richland,144
3943,MALVERN,119
3944,Neptune,117
3945,Greenwood,135
3946,Santa Clara ,106
3947,Palm Springs,106
3948,INDIANAPOLIS,135
3949,North Quincy,103
3950,San Jose ,106
3951,Holland,102
3952,Miamisburg,131
3953,Matawan,117
3954,Los Gatos,106
3955,Red Hook,113
3956,Beltsville,110
3957,College Grove,105
3958,Chatham,117
3959,chandler,121
3960,herndon,108
3961,Long Island City,113
3962,Conway,142
3963,The Woodlands,107
3964,Lake Forest,106
3965,Brentwood,106
3966,BURLINGTON,148
3967,Ofallon,111
3968,Iowa City,129
3969,Madison,135
3970,Budd Lake,117
3971,CULVER CITY,106
3972,Scranton,119
3973,CHICAGO ,115
3974,Vance,124
3975,Sanjose	,106
3976,BRIDGEWATER TOWNSHIP,117
3977,Deerfield,115
3978,Somerset,117
3979,Warrensburg,111
3980,PRINCETON,117
3981,Tallahassee,118
3982,La Jolla,106
3983,WALTHAM,103
3984,Loveland,132
3985,Hartford ,109
3986,FORT LAUDERDALE ,118
3987,Morris Plains ,117
3988,King of Prussia ,119
3989,Wixom,102
3990,St. Petersburg,118
3991,KING OF PRUSSIA,119
3992,Modesto,106
3993,King Of Prussia,119
3994, Pittsburgh,119
3995,Washington DC,138
3996,Largo,110
3997,MILPITAS,106
3998,Commack,113
3999,portland,130
4000,MEDLEY,118
4001,East Greenwich,136
4002,Sparta,117
4003,Washington ,138
4004,Woodbridge,117
4005,"Rancho Cordova, ",106
4006,ARLINGTON HEIGHTS,115
4007,Indianola,119
4008,Augusta,101
4009,Westlake Village,106
4010,St. Charles,111
4011,Mesquite,107
4012,RICHFIELD,104
4013,Leesburg,108
4014,PITTSBURGH,119
4015,Bothell,114
4016,Willowbrook,115
4017,STATEN ISLAND,113
4018,Monterey Park,106
4019,OVERLAND PARK,128
4020,Trenton,102
4021,Chelmsford,103
4022,Fairless Hills,119
4023,Canton,102
4024,SOMERSET,117
4025,Burlington,148
4026,Fairfield,117
4027,LOS ANGELES,106
4028,PISCATAWAY,117
4029,Saint Charles,111
4030,Johns Creek,101
4031,CHESTERBROOK,119
4032,EXTON,119
4033,Centennial ,132
4034,Lehigh,119
4035,Centerton,142
4036,Wapakoneta,131
4037,Winston Salem,120
4038,ENGLEWOOD,132
4039,Jarell,107
4040,Chesterbrook,119
4041,Los Alamos,143
4042,BRIGHTON,102
4043,Dodgeville,139
4044,Westwood,103
4045, Charlotte,120
4046,Severance,132
4047,Alliance,131
4048,Mars,119
4049,Warren,106
4050,Tysons Corner,108
4051,REYNOLDSBURG,131
4052,Maple Grove,104
4053,RADNOR,119
4054,Columbus,127
4055,Taos,143
4056,Shakopee,104
4057,West Haven,109
4058,West Des Moines,129
4059,Mankato,104
4060,Louisville ,116
4061,Rolling Meadows,115
4062,Maplewood,117
4063,Hudson,131
4064,ANTIOCH,106
4065,Parsippany ,117
4066,BROOKFIELD,139
4067,Waller,107
4068,Simpsonville,134
4069,Lakeland,118
4070,Lonetree,132
4071,Forest Lake,104
4072,Mechanicsville,108
4073,Glendale,121
4074,TEMPE,121
4075,Tustin,106
4076,Kennedy Space Center,118
4077,HOPKINS,104
4078,Matawan ,117
4079,HUNTERSVILLE,120
4080,Cypress,107
4081,Jessup,119
4082,Ontario,106
4083,North Brunswick,117
4084,ST LOUIS,111
4085,MENOMONEE FALLS,139
4086,Oldsmar,118
4087,Munice,135
4088, richmond,108
4089,Charlotte ,120
4090,North Charleston,134
4091,Ridgeland,144
4092, Santa Clara,106
4093,Rochelle,115
4094,ANN ARBOR,102
4095,Shalimar,118
4096,Burlingame,106
4097,Fayetteville,142
4098,Norton,103
4099,DORAL,118
4100,Holland,131
4101,Central Islip,113
4102,Royal Oak,102
4103,COPPELL,107
4104,RANCHO CORDOVA,106
4105,Evansville,135
4106,HARTFORD,109
4107,Englewood ,132
4108,Salem,130
4109,Rancho Cucamonga,106
4110,El Dorado,106
4111,Mountain House ,106
4112,Farmington,111
4113,Mettawa,115
4114,Strongsville,131
4115,DOVER,125
4116,Hines,115
4117,Mountain View ,106
4118,Gettysburg,119
4119,Monroe,120
4120,Alexandria ,108
4121,Jupiter,118
4122,ARLINGTON,107
4123,MADISON,139
4124,Bakersfield ,106
4125,Weslaco,107
4126,Juno Beach,118
4127,Kansas City,128
4128,Wichita,128
4129,ROUND ROCK,107
4130,Penns Grove,117
4131,Summit,117
4132,Cypress,106
4133, OKLAHOMA CITY,112
4134,Irvine ,106
4135,SOUTH SAN FRANCISCO,106
4136,Wauwatosa,139
4137,New Hudson ,102
4138,Palm Beach Gardens,118
4139,North Andover,103
4140,Cincinnati (Matthews location),131
4141,Lutz,118
4142,Newbury Park,106
4143,SANTA CLARITA,106
